Quarter,Year,ret,ret+1,PE Ratio,PE-1,Buy Decision,investment return,Gain/Loss,"Amount Return (based on $1,000 every time)",,# of Gains,# of Losses,Total Trades,Total return amount from strategy in 10 year period
4,2012,5.69%,7.48%,18.75,,,,,,,,,,
1,2013,7.48%,4.40%,19.64,18.75,BUY,4.40%,Gain,44,,56,21,77,363.02%
2,2013,4.40%,4.34%,20.05,19.64,BUY,4.34%,Gain,43.4,,73%,27%,,
3,2013,4.34%,3.54%,22.49,20.05,BUY,3.54%,Gain,35.4,,,,,
4,2013,3.54%,-6.10%,21.9,22.49,,,,,,,,,
1,2014,-6.10%,3.37%,21.67,21.9,,,,,,,,,
2,2014,3.37%,8.76%,21.81,21.67,BUY,8.76%,Gain,87.6,,,,,
3,2014,8.76%,12.58%,24.81,21.81,BUY,12.58%,Gain,125.8,,,,,
4,2014,12.58%,10.15%,25.02,24.81,BUY,10.15%,Gain,101.5,,,,,
1,2015,10.15%,-11.21%,23.88,25.02,,,,,,,,,
2,2015,-11.21%,7.08%,22.86,23.88,,,,,,,,,
3,2015,7.08%,11.33%,26.57,22.86,BUY,11.33%,Gain,113.3,,,,,
4,2015,11.33%,-2.19%,25.28,26.57,,,,,,,,,
1,2016,-2.19%,-0.05%,24.81,25.28,,,,,,,,,
2,2016,-0.05%,-2.66%,34.38,24.81,BUY,-2.66%,Loss,-26.6,,,,,
3,2016,-2.66%,5.17%,25.2,34.38,,,,,,,,,
4,2016,5.17%,4.89%,23.41,25.2,,,,,,,,,
1,2017,4.89%,-0.49%,28.05,23.41,BUY,-0.49%,Loss,-4.9,,,,,
2,2017,-0.49%,3.01%,29.08,28.05,BUY,3.01%,Gain,30.1,,,,,
3,2017,3.01%,12.77%,24.05,29.08,,,,,,,,,
4,2017,12.77%,1.50%,27.85,24.05,BUY,1.50%,Gain,15,,,,,
1,2018,1.50%,10.64%,26.8,27.85,,,,,,,,,
2,2018,10.64%,11.93%,28.45,26.8,BUY,11.93%,Gain,119.3,,,,,
3,2018,11.93%,-14.00%,29.63,28.45,BUY,-14.00%,Loss,-140,,,,,
