Date,Stock,macro_gdp,macro_cpi,macro_csent,macro_candh,macro_retailsal,macro_indpro,macro_bondyd,macro_ppiaco,macro_DCOILBRENTEU,Debt to Equity Ratio,Return on Assets,TTM Net EPS,PE Ratio,FF-RmxRf,FF-SMB,FF-HML,FF-Rf,adjusted,sma3,sma13,sma20,ema14,rsi14,macd,signal,Social Media Sentiment,ret,ret1
10/1/2012,COST,16300.04,-0.04,82.60,-0.14,361864.00,97.56,1.75,203.50,0.95,1.29,0.06,4.12,19.39,-0.02,-0.01,0.04,0.00,75.20,98.43,89.11,85.36,89.13,71.12,10.21,12.06,0.16,-0.03,-0.01
11/1/2012,COST,16300.04,-0.47,82.70,-0.08,362866.00,97.96,1.65,201.80,0.95,1.29,0.06,4.12,19.39,0.01,0.01,-0.01,0.00,74.73,98.81,90.24,86.62,90.23,69.75,9.79,11.62,-0.06,-0.01,0.08
12/1/2012,COST,16300.04,-0.27,72.90,-0.09,364443.00,98.21,1.72,201.50,1.24,1.83,0.07,4.46,18.75,0.01,0.02,0.04,0.00,81.01,98.31,91.50,87.73,91.46,71.39,9.47,11.13,0.16,0.08,0.03
1/1/2013,COST,16441.49,0.30,73.80,-0.08,367277.00,98.20,1.91,202.50,1.24,1.83,0.07,4.46,18.75,0.06,0.00,0.01,0.00,83.73,99.52,92.82,88.72,92.83,73.06,9.66,10.72,0.00,0.03,0.00
2/1/2013,COST,16441.49,0.82,77.60,-0.10,372515.00,98.68,1.98,204.30,1.24,1.83,0.07,4.46,18.75,0.01,0.00,0.00,0.00,83.89,100.97,94.37,89.84,94.01,72.99,9.83,10.44,0.00,0.00,0.02
3/1/2013,COST,16441.49,0.26,78.60,-0.12,369062.00,99.10,1.96,204.00,1.04,1.82,0.07,4.62,19.64,0.04,0.01,0.00,0.00,85.39,102.30,95.82,90.98,95.27,74.35,9.63,10.21,0.00,0.02,0.03
4/1/2013,COST,16464.40,-0.10,76.40,-0.13,367290.00,98.99,1.76,203.50,1.04,1.82,0.07,4.62,19.64,0.02,-0.02,0.00,0.00,87.81,103.86,97.12,92.53,96.76,76.46,9.83,10.06,0.00,0.03,0.05
5/1/2013,COST,16464.40,0.18,84.50,-0.08,369648.00,99.08,1.93,204.10,1.04,1.82,0.07,4.62,19.64,0.03,0.02,0.03,0.00,91.99,107.06,98.92,93.99,98.70,79.50,10.47,9.97,0.00,0.05,-0.01
6/1/2013,COST,16464.40,0.24,84.10,-0.14,370847.00,99.21,2.30,204.30,1.40,1.75,0.07,4.63,20.05,-0.01,0.01,0.00,0.00,91.33,109.36,100.92,95.38,100.25,77.43,10.81,9.97,0.00,-0.01,0.05
7/1/2013,COST,16594.74,0.04,85.10,-0.09,373447.00,98.91,2.58,204.40,1.40,1.75,0.07,4.63,20.05,0.06,0.02,0.01,0.00,95.59,112.40,102.89,97.00,102.29,80.43,11.10,10.07,0.00,0.05,-0.01
8/1/2013,COST,16594.74,0.12,82.10,-0.13,372419.00,99.49,2.74,204.20,1.40,1.75,0.07,4.63,20.05,-0.03,0.00,-0.03,0.00,94.91,113.45,104.39,98.49,103.91,78.12,11.13,10.21,0.00,-0.01,0.02
9/1/2013,COST,16594.74,0.12,77.50,-0.11,372515.00,100.02,2.81,203.90,0.96,1.83,0.07,4.64,22.49,0.04,0.03,-0.01,0.00,96.54,115.44,105.94,100.23,105.57,79.27,10.87,10.37,0.00,0.02,0.00
10/1/2013,COST,16712.76,-0.26,73.20,-0.08,373492.00,99.90,2.62,202.50,0.96,1.83,0.07,4.64,22.49,0.04,-0.02,0.01,0.00,96.39,115.67,107.11,101.82,106.99,78.85,10.63,10.48,0.00,0.00,0.06
11/1/2013,COST,16712.76,-0.20,75.10,-0.06,373940.00,100.15,2.72,201.20,0.96,1.83,0.07,4.64,22.49,0.03,0.01,0.00,0.00,102.47,118.62,109.05,103.50,109.16,82.76,11.05,10.61,0.00,0.06,-0.03
12/1/2013,COST,16712.76,-0.01,82.50,-0.09,376621.00,100.36,2.90,202.00,1.05,1.70,0.06,4.45,21.90,0.03,0.00,0.00,0.00,99.53,119.72,110.77,105.09,110.56,75.09,11.15,10.78,0.00,-0.03,-0.04
1/1/2014,COST,16654.25,0.37,81.20,-0.20,373327.00,99.98,2.86,203.80,1.05,1.70,0.06,4.45,21.90,-0.03,0.01,-0.02,0.00,95.66,119.33,111.96,106.62,111.16,66.66,10.89,10.90,-0.25,-0.04,0.00
2/1/2014,COST,16654.25,0.37,81.60,-0.03,378580.00,100.75,2.71,205.70,1.05,1.70,0.06,4.45,21.90,0.05,0.00,0.00,0.00,95.26,116.33,112.93,107.84,111.58,65.50,10.69,10.92,0.13,0.00,0.00
3/1/2014,COST,16654.25,0.64,80.00,-0.03,382404.00,101.74,2.72,207.00,1.07,1.72,0.06,4.48,21.67,0.00,-0.02,0.05,0.00,94.93,114.39,113.86,108.79,111.88,64.60,10.19,10.86,-0.01,0.00,-0.01
4/1/2014,COST,16868.11,0.33,84.10,-0.06,386507.00,101.80,2.71,208.30,1.07,1.72,0.06,4.48,21.67,0.00,-0.04,0.01,0.00,94.41,113.78,114.61,109.64,112.05,63.44,9.58,10.69,0.00,-0.01,0.02
5/1/2014,COST,16868.11,0.35,81.90,-0.09,386929.00,102.21,2.56,208.00,1.07,1.72,0.06,4.48,21.67,0.02,-0.02,0.00,0.00,95.96,113.96,115.26,110.33,112.43,65.22,8.85,10.43,0.00,0.02,0.01
6/1/2014,COST,16868.11,0.19,82.50,-0.08,387863.00,102.56,2.60,208.30,1.57,1.64,0.06,4.66,21.81,0.03,0.03,-0.01,0.00,97.13,114.72,115.63,111.23,112.92,66.54,8.20,10.14,-0.07,0.01,0.01
7/1/2014,COST,17064.62,-0.04,81.80,-0.07,388261.00,102.84,2.54,208.00,1.57,1.64,0.06,4.66,21.81,-0.02,-0.04,0.00,0.00,98.43,116.12,116.17,112.23,113.51,67.90,7.08,9.74,-0.07,0.01,0.02
8/1/2014,COST,17064.62,-0.17,82.50,-0.03,391217.00,102.65,2.42,207.00,1.57,1.64,0.06,4.66,21.81,0.04,0.00,0.00,0.00,100.49,117.75,116.50,113.25,114.35,70.29,6.36,9.22,0.00,0.02,0.05
9/1/2014,COST,17064.62,0.08,84.60,-0.10,389680.00,102.96,2.53,206.40,1.12,1.75,0.06,4.82,24.81,-0.02,-0.04,-0.01,0.00,105.38,120.91,117.35,114.44,115.84,75.18,5.92,8.64,-0.45,0.05,0.02
10/1/2014,COST,17141.24,-0.25,86.90,-0.04,390597.00,102.97,2.30,203.40,1.12,1.75,0.06,4.82,24.81,0.03,0.04,-0.02,0.00,107.65,124.55,118.27,115.77,117.50,77.07,5.65,8.06,0.24,0.02,0.08
11/1/2014,COST,17141.24,-0.54,88.80,-0.05,391592.00,103.60,2.33,200.90,1.12,1.75,0.06,4.82,24.81,0.03,-0.02,-0.03,0.00,116.26,130.73,119.97,117.51,120.28,82.41,5.42,7.47,0.00,0.08,0.03
12/1/2014,COST,17141.24,-0.57,93.60,-0.06,388223.00,103.59,2.21,197.00,1.35,2.22,0.07,5.12,25.02,0.00,0.02,0.02,0.00,119.31,136.15,121.40,119.28,123.15,83.83,5.48,6.95,0.00,0.03,0.00
1/1/2015,COST,17280.65,-0.47,98.10,-0.04,385558.00,102.80,1.88,192.00,1.35,2.22,0.07,5.12,25.02,-0.03,-0.01,-0.04,0.00,118.94,140.51,123.07,120.79,125.58,82.92,5.84,6.53,0.00,0.00,0.08
2/1/2015,COST,17280.65,0.43,95.40,-0.14,385104.00,102.16,1.98,191.10,1.35,2.22,0.07,5.12,25.02,0.06,0.01,-0.02,0.00,128.44,143.84,125.63,122.68,128.62,85.56,6.55,6.28,-0.14,0.08,0.02
